coc_number,category,homeless_count
NY-510,Rural CoCs,91
NY-511,Rural CoCs,244
NY-512,Suburban CoCs,178
NY-513,Rural CoCs,182
NY-514,Rural CoCs,145
NY-516,Rural CoCs,197
NY-518,Rural CoCs,178
NY-519,Rural CoCs,196
NY-520,Rural CoCs,42
NY-522,Rural CoCs,96
NY-523,Suburban CoCs,257
NY-600,Major Cities,78676
NY-601,Suburban CoCs,399
NY-602,Suburban CoCs,480
NY-603,Suburban CoCs,3868
NY-604,Suburban CoCs,1827
NY-606,Suburban CoCs,180
NY-607,Rural CoCs,189
NY-608,Rural CoCs,464
OH-500,Suburban CoCs,1114
OH-501,Other Urban CoCs,662
OH-502,Suburban CoCs,1808
OH-503,Major Cities,1807
OH-504,Other Urban CoCs,180
OH-505,Suburban CoCs,680
OH-506,Suburban CoCs,587
OH-507,Rural CoCs,3133
OH-508,Suburban CoCs,278
OK-500,Rural CoCs,181
OK-501,Major Cities,1083
OK-502,Major Cities,1183
OK-503,Rural CoCs,233
OK-504,Suburban CoCs,364
OK-505,Rural CoCs,392
OK-506,Rural CoCs,191
OK-507,Rural CoCs,244
OR-500,Other Urban CoCs,1641
OR-501,Major Cities,4019
OR-502,Suburban CoCs,732
OR-503,Rural CoCs,787
OR-505,Rural CoCs,6392
OR-506,Suburban CoCs,522
OR-507,Suburban CoCs,383
PA-500,Major Cities,5788
PA-501,Suburban CoCs,445
PA-502,Suburban CoCs,414
PA-503,Suburban CoCs,165
PA-504,Suburban CoCs,291
PA-505,Suburban CoCs,579
PA-506,Suburban CoCs,562
PA-508,Suburban CoCs,159
PA-509,Rural CoCs,1998
PA-510,Suburban CoCs,406
PA-511,Suburban CoCs,397
PA-512,Suburban CoCs,324
PA-600,Suburban CoCs,783
PA-601,Rural CoCs,748
PA-603,Suburban CoCs,117
PA-605,Suburban CoCs,336
PR-502,Suburban CoCs,1643
PR-503,Suburban CoCs,1539
RI-500,Suburban CoCs,1101
SC-500,Suburban CoCs,451
SC-501,Suburban CoCs,1185
SC-502,Suburban CoCs,1205
SC-503,Rural CoCs,1092
SD-500,Rural CoCs,1159
TN-500,Rural CoCs,623
TN-501,Major Cities,1226
TN-502,Suburban CoCs,743
TN-503,Rural CoCs,268
TN-504,Major Cities,2298
TN-506,Rural CoCs,258
TN-507,Rural CoCs,1026
TN-509,Rural CoCs,360
TN-510,Suburban CoCs,283
TN-512,Rural CoCs,798
TX-500,Major Cities,3066
TX-503,Major Cities,2147
TX-600,Major Cities,4121
TX-601,Major Cities,2015
TX-603,Major Cities,892
TX-604,Rural CoCs,188
TX-607,Rural CoCs,7638
TX-611,Other Urban CoCs,665
TX-624,Rural CoCs,238
TX-700,Major Cities,4143
TX-701,Other Urban CoCs,197
UT-500,Suburban CoCs,1804
UT-503,Suburban CoCs,899
UT-504,Suburban CoCs,173
VA-500,Suburban CoCs,609
VA-501,Suburban CoCs,773
VA-502,Suburban CoCs,317
