,coc_number,black,hispanic,share_rent,unemployment,share_pa,share_ssi,gini,rent,vacancy,single,veteran,poverty,older,pop_full,pop_pov,homeless,category,homeless_rate_full,homeless_rate_pov,state
366,WY-500,0.95215834,9.790731409,30.57234532,4.492069536,1.592594198,3.615314573,42.64126077,855.6169539,11.13616932,28.41130816,10.28575961,4.882119905,29.16251315,581836,27728,639,Rural,10.98247616,230.4529717,WY
367,CA-06037,8.159860932,48.46086156,54.18696117,6.833541362,3.542230459,6.836646947,50.22,1390,3.240649585,25.61790915,3.446261727,6.629788157,25.64302501,10098052,659518,52765,Urban,52.25265229,800.0539788,CA
368,CT-09001,11.35333585,19.34170454,32.69454993,6.955179256,1.738959326,3.621534784,54.32,1470,5.606926698,24.85440144,4.477605783,4.093663823,29.66215844,860214.7807,34548.94403,741,Urban,8.614127735,214.4783352,CT
369,GA-13089,53.96824756,8.576038063,45.69353788,7.363662623,1.363782011,4.341204722,49.04,1116,6.074399395,33.09511551,6.473172268,7.079610809,25.42428756,711615.7561,49410.85872,321,Suburban,4.510861336,64.96547688,GA
370,IL-17111,1.45326831,12.77693485,20.73212178,4.423045441,1.055342897,3.357421386,40.62,1175,4.347470785,20.31087898,6.524301136,2.86561653,30.58004022,301687.0034,8580.449683,179,Suburban,5.933301667,208.6137751,IL
371,MA-25005,4.05077786,7.701129888,37.50427019,5.82922988,3.580496542,7.522458891,45.63,872,4.716564873,27.8254808,6.636162335,5.05277023,30.58194147,558905,27466,994,Suburban,17.78477559,361.9019879,MA
372,MA-25009,4.009735936,20.35456017,35.91551943,5.385071799,3.417971086,6.850976734,48.4,1189,3.203905644,27.53067563,5.584489274,4.690237945,30.91223829,700484.4086,32168.37675,1793,Suburban,25.59657257,557.3796943,MA
373,MA-25017,5.267140256,7.869460228,37.60116127,4.21437772,1.845234921,4.170444243,46.8,1541,3.570194148,26.44442296,4.700730776,3.90060419,28.21660339,1249544.51,47040.66749,2210,Urban,17.6864448,469.8062587,MA
374,MA-25025,22.44956212,22.69635221,63.88280768,6.978219863,3.345892747,8.184298568,53.65,1506,2.779071573,35.62347744,3.013041591,9.599017062,22.45852941,678898.0483,61562.18273,6188,Urban,91.14770643,1005.162541,MA
375,MI-26163,38.89548093,5.859149236,37.98772368,10.18918866,3.372219685,9.622561474,49.74,850,5.451751399,33.51498034,6.193532507,10.90014958,28.62167321,1761382,189688,1980,Urban,11.24117312,104.3819324,MI
376,NE-31109,4.030713268,6.862435262,39.97439786,3.406158316,2.942615332,3.464442379,44.18,822,3.80257644,30.30755182,6.459124379,5.615553668,24.69122266,258657.8244,13896.55832,451,Urban,17.43616305,324.540789,NE
377,NH-33011,2.80475909,6.52976134,34.04585427,4.347215424,2.417713568,4.734296482,42.99,1154,4.01934594,25.40075377,8.300091864,3.481334118,31.22550701,411087,14017,708,Urban,17.22263171,505.1009488,NH
378,NM-35001,2.84199902,49.82012478,37.17274531,6.292402738,2.497957893,5.54361451,47.51,857,7.827199588,32.90521236,9.206893851,7.624429725,28.38796976,527082.1723,39696.12596,1340,Urban,25.4229809,337.5644267,NM
379,OK-40027,4.647078592,8.422197569,35.99486643,4.155351465,1.824317901,3.738948569,43.17,908,7.479834367,25.21627531,9.540333211,6.820339599,24.86476134,203761.9761,13276.45128,364,Suburban,17.86398066,274.16965,OK
380,WA-53053,6.679963714,10.63407146,38.34100831,5.820679253,3.37520735,4.893310964,42.6,1186,3.849322948,25.92453864,13.46459486,5.431859689,27.08352717,853830.6919,45512.67922,1628,Suburban,19.06701194,357.7025189,WA
